index,year,package,className,direction
242,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.store,BaseHashMap,From
243,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.store,BaseHashMap,To
244,2019,hsqldb.src.org.hsqldb.test,TestKarl,From
245,2019,hsqldb.src.org.hsqldb.test,TestKarl,To
246,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb,StatementInsert,From
247,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb,StatementInsert,To
248,2017,base.trunk.src.org.hsqldb,StatementSimple,From
249,2017,base.trunk.src.org.hsqldb,StatementSimple,To
250,2007,base.trunk.src.org.hsqldb.server,WebServer,From
251,2007,base.trunk.src.org.hsqldb.server,WebServer,To
252,2017,base.trunk.src.org.hsqldb,ExpressionAggregate,From
253,2017,base.trunk.src.org.hsqldb,ExpressionAggregate,To
254,2007,base.trunk.src.org.hsqldb.types,Type,From
255,2007,base.trunk.src.org.hsqldb.types,Type,To
256,2019,hsqldb.src.org.hsqldb.jdbc,JDBCClobFile,From
257,2019,hsqldb.src.org.hsqldb.jdbc,JDBCClobFile,To
258,2017,base.trunk.src.org.hsqldb.types,IntervalSecondData,From
259,2017,base.trunk.src.org.hsqldb.types,IntervalSecondData,To
260,2019,hsqldb.src.org.hsqldb.util,Tree,From
261,2019,hsqldb.src.org.hsqldb.util,Tree,To
262,2011,base.trunk.src.org.hsqldb,ExpressionLike,From
263,2011,base.trunk.src.org.hsqldb,ExpressionLike,To
264,2007,base.trunk.src.org.hsqldb.navigator,DataRowSetNavigator,From
265,2007,base.trunk.src.org.hsqldb.navigator,DataRowSetNavigator,To
266,2017,base.trunk.src.org.hsqldb.lib.tar,TarReader,From
267,2017,base.trunk.src.org.hsqldb.lib.tar,TarReader,To
268,2019,hsqldb.src.org.hsqldb.persist,RAStorageWrapper,From
269,2019,hsqldb.src.org.hsqldb.persist,RAStorageWrapper,To
270,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.test,TestHSQLDB,From
271,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.test,TestHSQLDB,To
272,2013,base.trunk.src.org.hsqldb.index,NodeAVLDisk,From
273,2013,base.trunk.src.org.hsqldb.index,NodeAVLDisk,To
274,2019,hsqldb.src.org.hsqldb.test,TestBase,From
275,2019,hsqldb.src.org.hsqldb.test,TestBase,To
276,2012,base.trunk.src.org.hsqldb.store,BaseHashMap,From
277,2012,base.trunk.src.org.hsqldb.store,BaseHashMap,To
278,2007,base.trunk.src.org.hsqldb.util,TransferDb,From
279,2007,base.trunk.src.org.hsqldb.util,TransferDb,To
280,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb,ParserDQL,From
281,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb,ParserDQL,To
282,2019,hsqldb.src.org.hsqldb,Schema,From
283,2019,hsqldb.src.org.hsqldb,Schema,To
284,2013,base.trunk.src.org.hsqldb.jdbc,JDBCArray,From
285,2013,base.trunk.src.org.hsqldb.jdbc,JDBCArray,To
