versionDate,packageName,className,classSize,duplicateCount,duplicateLines,largestDuplicate
2008,base.trunk.test.org.hsqldb.jdbc,jdbcBlobTest,170,5,32,8
2013,base.trunk.src.org.hsqldb.lib,IntKeyHashMapConcurrent,147,22,234,19
2009,base.trunk.src.org.hsqldb.types,BlobDataID,121,3,21,8
2011,base.trunk.src.org.hsqldb,StatementSchemaDefinition,143,8,61,13
2019,base.trunk.src.org.hsqldb.auth,JaasAuthBean,144,2,11,6
2008,base.trunk.src.org.hsqldb.lib,OrderedIntHashSet,63,2,15,9
2010,base.trunk.src.org.hsqldb,Table,1907,26,184,14
2011,base.trunk.src.org.hsqldb.lib.tar,RB,122,2,49,37
2009,base.trunk.src.org.hsqldb.navigator,RowSetNavigator,161,1,12,12
2017,base.trunk.src.org.hsqldb.test,TestCollation,139,1,5,5
2017,base.trunk.src.org.hsqldb.sample,TriggerSample,285,4,26,8
2012,base.trunk.src.org.hsqldb.types,OtherType,111,9,56,10
2017,base.trunk.src.org.hsqldb.types,IntervalSecondData,97,1,8,8
2009,base.trunk.src.org.hsqldb.util,ConnectionDialogCommon,190,2,12,6
2010,base.trunk.src.org.hsqldb.types,TimestampData,52,3,26,10
2009,base.trunk.src.org.hsqldb.types,BlobInputStream,75,8,71,17
2007,base.trunk.src.org.hsqldb.sample,FindFile,80,2,11,6
2015,base.trunk.src.org.hsqldb.test,TestJDBCGeneratedColumns,157,9,55,9
2014,base.trunk.src.org.hsqldb,Schema,235,4,24,7
2015,base.trunk.src.org.hsqldb,StatementQuery,57,2,17,9
2007,base.trunk.src.org.hsqldb.test,TestLikePredicateOptimizations,168,7,45,8
2012,base.trunk.src.org.hsqldb,StatementDMQL,507,9,92,28
2014,base.trunk.src.org.hsqldb,ExpressionColumn,790,19,115,8
2012,base.trunk.src.org.hsqldb.persist,RowStoreAVLMemory,131,13,101,16
2015,base.trunk.src.org.hsqldb.lib,LineGroupReader,121,1,5,5
2010,base.trunk.src.org.hsqldb.jdbc,JDBCDatabaseMetaData,1031,12,79,11
2009,base.trunk.src.org.hsqldb,DatabaseManager,230,10,82,10
2012,base.trunk.src.org.hsqldb.test,AbstractTestOdbc,128,2,12,6
2019,base.trunk.src.org.hsqldb,ExpressionAggregate,203,10,83,14
2007,base.trunk.src.org.hsqldb,Tokenizer,626,4,28,9
2014,base.trunk.src.org.hsqldb.types,TimeData,51,4,31,10
2007,base.trunk.src.org.hsqldb.test,TestStoredProcedure,361,11,84,14
2008,base.trunk.src.org.hsqldb.types,BitType,281,24,194,19
2014,base.trunk.src.org.hsqldb,ParserBase,559,21,131,12
2009,base.trunk.src.org.hsqldb.lib,DoubleIntIndex,396,18,133,11
2019,base.trunk.src.org.hsqldb.test,TestSqlPersistent,365,5,115,92
2019,base.trunk.src.org.hsqldb.test,AllSimpleTests,33,1,5,5
2019,base.trunk.src.org.hsqldb.test,TestOdbcService,290,27,235,27
2008,base.trunk.src.org.hsqldb.persist,Logger,199,1,5,5
2008,base.trunk.src.org.hsqldb.test,TestGroupByHaving,187,7,48,9
2008,base.trunk.src.org.hsqldb.util,ZaurusChoice,59,2,12,7
2011,base.trunk.src.org.hsqldb.persist,DataFileCacheSession,58,3,18,7
2014,base.trunk.src.org.hsqldb.jdbc,JDBCBlobFile,376,16,168,34
2019,base.trunk.src.org.hsqldb.lib.tar,DbBackup,299,1,7,7
2015,base.trunk.src.org.hsqldb.map,BitMap,490,11,89,13
2015,base.trunk.src.org.hsqldb.util,HsqldbTransferHelper,52,2,10,5
2014,base.trunk.src.org.hsqldb.map,BaseHashMap,1200,46,359,26
2019,base.trunk.src.org.hsqldb.test,TestTriggers,109,2,10,5
2014,base.trunk.src.org.hsqldb,RowAVLDisk,158,3,23,9
2015,base.trunk.src.org.hsqldb,ExpressionArrayAggregate,280,13,112,14
2017,base.trunk.src.org.hsqldb.test,TestDateTime,181,6,64,16
2015,base.trunk.src.org.hsqldb,StatementCompound,598,18,150,21
2011,base.trunk.src.org.hsqldb.rowio,RowInputBase,183,3,25,10
2017,base.trunk.src.org.hsqldb.lib,StringComparator,16,2,13,8
2013,base.trunk.src.org.hsqldb.persist,RowStoreAVLDisk,211,15,102,16
2010,base.trunk.src.org.hsqldb.test,TestDatetimeSimple,189,3,16,6
2010,base.trunk.src.org.hsqldb.server,ServerProperties,196,1,5,5
2015,base.trunk.src.org.hsqldb,TransactionManager2PL,205,16,209,53
2014,base.trunk.src.org.hsqldb.server,ServerConfiguration,136,2,22,11
2010,base.trunk.src.org.hsqldb.test,TestHashStructures,394,10,66,10
2014,base.trunk.src.org.hsqldb.util,ConnectionDialogSwing,252,3,23,11
2010,base.trunk.src.org.hsqldb.persist,ScriptRunner,195,2,10,5
2017,base.trunk.src.org.hsqldb.persist,Crypto,148,2,20,10
2011,base.trunk.src.org.hsqldb.test,TestGroupByHaving,182,8,52,9
2017,base.trunk.src.org.hsqldb.rights,Grantee,712,20,154,15
2013,base.trunk.src.org.hsqldb.persist,CachedObjectBase,81,2,14,8
2009,base.trunk.src.org.hsqldb.dbinfo,DIProcedureInfo,410,1,9,9
2017,base.trunk.src.org.hsqldb.test,TestCascade,98,2,10,5
2009,base.trunk.src.org.hsqldb.util,ZaurusTableForm,599,16,110,11
2019,base.trunk.src.org.hsqldb.test,TestDbBackup,447,9,52,8
2010,base.trunk.src.org.hsqldb.lib,DoubleIntIndex,443,20,135,8
2011,base.trunk.src.org.hsqldb.cmdline,SqlTool,544,1,5,5
2013,base.trunk.src.org.hsqldb.auth,AuthUtils,53,2,13,8
2011,base.trunk.src.org.hsqldb.persist,TextCache,306,6,33,6
2013,base.trunk.src.org.hsqldb.types,NumberType,1483,68,429,11
2017,base.trunk.src.org.hsqldb.types,ArrayType,348,21,172,17
2007,base.trunk.test.org.hsqldb.jdbc,jdbcSavepointTest,63,4,25,8
2009,base.trunk.src.org.hsqldb.lib,DataOutputStream,87,2,10,5
2015,base.trunk.src.org.hsqldb.persist,RowStoreAVLDisk,324,14,111,13
2009,base.trunk.src.org.hsqldb,QuerySpecification,1244,8,52,10
2012,base.trunk.src.org.hsqldb.persist,DataFileCache,856,15,99,11
2011,base.trunk.src.org.hsqldb.lib,StringUtil,204,9,73,11
2019,base.trunk.src.org.hsqldb.lib,HsqlArrayList,209,4,29,8
2012,base.trunk.src.org.hsqldb,ParserDQL,4441,109,711,16
2019,base.trunk.src.org.hsqldb,StatementSession,538,13,99,22
2013,base.trunk.src.org.hsqldb,Session,1360,6,40,10
2019,base.trunk.src.org.hsqldb.rowio,RowInputBinary,177,2,18,13
2007,base.trunk.src.org.hsqldb,Constraint,630,5,37,13
2014,base.trunk.src.org.hsqldb,ExpressionArithmetic,474,27,244,19
2017,base.trunk.src.org.hsqldb.cmdline,SqltoolRB,284,2,49,37
2012,base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationFull,4774,281,2315,54
2013,base.trunk.src.org.hsqldb,ColumnSchema,241,3,16,6
2019,base.trunk.src.org.hsqldb.lib.tar,TarGenerator,404,1,7,7
2007,base.trunk.src.org.hsqldb.jdbc,jdbcBlob,239,8,63,9
2013,base.trunk.src.org.hsqldb,ExpressionTable,169,8,48,9
2014,base.trunk.src.org.hsqldb.auth,JaasAuthBean,144,2,11,6
2015,base.trunk.src.org.hsqldb.util,DatabaseManagerSwing,2117,35,336,42
2010,base.trunk.src.org.hsqldb.persist,TextCache,306,6,33,6
2019,base.trunk.src.org.hsqldb.test,TestCollation,144,1,5,5
2017,base.trunk.src.org.hsqldb.lib,HashMap,122,16,157,22
2008,base.trunk.src.org.hsqldb,HsqlDateTime,401,2,22,11
2015,base.trunk.src.org.hsqldb,RowAction,640,10,72,13
2011,base.trunk.src.org.hsqldb.server,ServerProperties,196,1,5,5
2008,base.trunk.src.org.hsqldb.util,CSVWriter,55,1,5,5
2011,base.trunk.src.org.hsqldb.test,TestDatetimeSimple,189,3,16,6
2019,base.trunk.src.org.hsqldb.persist,RowStoreAVLMemory,114,11,77,12
2017,base.trunk.src.org.hsqldb.test,TestAllTypes,291,10,61,9
2010,base.trunk.src.org.hsqldb.rowio,RowInputBase,183,3,25,10
2019,base.trunk.src.org.hsqldb.types,BinaryData,188,3,27,14
2013,base.trunk.src.org.hsqldb.rowio,RowInputTextQuoted,82,1,9,9
2017,base.trunk.src.org.hsqldb.util,DatabaseManager,958,31,291,42
2019,base.trunk.src.org.hsqldb.types,IntervalType,1233,42,307,14
2015,base.trunk.src.org.hsqldb.persist,DataFileCacheSession,85,4,25,7
2011,base.trunk.src.org.hsqldb,ExpressionArrayAggregate,265,12,113,23
2013,base.trunk.src.org.hsqldb,Routine,1002,7,45,8
2012,base.trunk.src.org.hsqldb.navigator,RowSetNavigatorDataTable,418,14,163,25
2008,base.trunk.src.org.hsqldb.types,Type,438,3,28,12
2010,base.trunk.src.org.hsqldb.persist,DataFileCacheSession,58,3,18,7
2007,base.trunk.src.org.hsqldb.test,TestHarness,179,6,32,6
2008,base.trunk.src.org.hsqldb.util,DatabaseManagerSwing,1888,37,310,38
2012,base.trunk.src.org.hsqldb.rowio,RowInputBinary,174,3,23,13
2012,base.trunk.src.org.hsqldb.persist,RowStoreAVLHybrid,275,12,80,9
2017,base.trunk.src.org.hsqldb.test,TestPreparedStatements,150,3,23,9
2012,base.trunk.src.org.hsqldb.test,TestTextTable,344,2,10,5
2012,base.trunk.src.org.hsqldb.util.preprocessor,Defines,125,3,19,7
2019,base.trunk.src.org.hsqldb.lib,Storage,17,1,11,11
2013,base.trunk.src.org.hsqldb,RowAVL,73,1,7,7
2013,base.trunk.src.org.hsqldb.types,BinaryType,533,28,204,12
2014,base.trunk.src.org.hsqldb.test,TestJDBCSavepoints,280,4,31,10
2014,base.trunk.src.org.hsqldb.types,RowType,331,25,223,17
2010,base.trunk.src.org.hsqldb.lib,StringUtil,204,9,73,11
2009,base.trunk.src.org.hsqldb.lib,StringUtil,162,5,36,9
2011,base.trunk.src.org.hsqldb.types,Collation,298,7,60,12
2017,base.trunk.src.org.hsqldb,DatabaseManager,270,8,62,9
2014,base.trunk.src.org.hsqldb.types,BitType,395,24,193,18
2010,base.trunk.src.org.hsqldb.types,BlobInputStream,82,9,98,22
2017,base.trunk.src.org.hsqldb.test,TestUpdatableResultSets,115,4,32,11
2017,base.trunk.src.org.hsqldb.auth,HsqldbSlaveAuthBean,95,1,5,5
2019,base.trunk.src.org.hsqldb,Schema,239,4,24,7
2011,base.trunk.src.org.hsqldb,Table,1907,26,184,14
2014,base.trunk.src.org.hsqldb.persist,Log,529,6,35,6
2015,base.trunk.src.org.hsqldb.util,PostgresTransferHelper,95,5,50,21
2012,base.trunk.src.org.hsqldb.scriptio,ScriptWriterEncode,91,6,53,15
2019,base.trunk.src.org.hsqldb.result,ResultLob,494,10,66,11
2014,base.trunk.src.org.hsqldb.jdbc,JDBCClobFile,581,29,268,34
2012,base.trunk.src.org.hsqldb,SchemaManager,1947,68,514,26
2008,base.trunk.src.org.hsqldb,TableUtil,101,2,12,6
2014,base.trunk.src.org.hsqldb.server,OdbcUtil,204,6,51,11
2011,base.trunk.src.org.hsqldb.types,TimestampData,52,3,26,10
2008,base.trunk.src.org.hsqldb.scriptio,ScriptReaderBase,82,2,11,6
2017,base.trunk.src.org.hsqldb,StatementSchema,1185,31,223,17
2014,base.trunk.src.org.hsqldb,StatementDML,1127,17,127,19
2009,base.trunk.src.org.hsqldb.persist,LockFile,631,9,57,11
2017,base.trunk.src.org.hsqldb.jdbc,JDBCSQLXML,1066,12,87,8
2007,base.trunk.src.org.hsqldb.persist,ScaledRAFileInJar,161,5,35,15
2010,base.trunk.src.org.hsqldb,StatementSchemaDefinition,143,8,61,13
2015,base.trunk.src.org.hsqldb.lib,WrapperIterator,95,2,14,9
2007,base.trunk.src.org.hsqldb.test,TestSchemaParse,759,1,5,5
